Word,Definition,Part of Speech,Synonyms,Antonyms
learn,"Gain or acquire knowledge of or skill in (something) by study, experience, or being taught","verb, noun","study, understand","forget, neglect"
least,"Smallest in amount, extent, or significance","adjective, noun","minimum, slightest","most, maximum"
leather,A material made from the skin of an animal by tanning or a similar process,"noun, verb","hide, skin",none
leave,Go away from,"verb, noun","depart, go","stay, arrive"
lecture,"An educational talk to an audience, especially one of students in a university","noun, verb","speech, talk","conversation, chat"
left,"On, towards, or relating to the side of a human body or of a thing that is to the west when the person or thing is facing north","adjective, noun","westward, portside","right, rightward"
leg,Each of the limbs on which a person or animal walks and stands,"noun, verb","limb, appendage",none
legal,"Of, based on, or concerned with the law","adjective, noun","lawful, legitimate","illegal, unlawful"
legally,In a way that conforms to or is permitted or required by the law,adverb,"lawfully, rightfully","illegally, unlawfully"
lemon,"A yellow citrus fruit with a bitter, acidic juice","noun, verb","citrus, citron",none
lend,Grant to (someone) the use of (something) on the understanding that it will be returned,"verb, noun","loan, advance","borrow, take"
length,The measurement or extent of something from end to end,"noun, verb","distance, extent","height, width"
less,To a smaller extent; not as much,"adjective, adverb","fewer, smaller","more, greater"
lesson,An amount of teaching given at one time; a period of learning or teaching,"noun, verb","class, instruction",none
let,Allow someone to have or do something,"verb, noun","allow, permit","forbid, prevent"
letter,"A written, typed, or printed communication, especially one sent in an envelope by mail or messenger","noun, verb","note, missive",none
level,"A position on a real or imaginary scale of amount, quantity, extent, or quality","noun, verb","height, standard",none
library,"A building or room containing collections of books, periodicals, and sometimes films and recorded music for people to read, borrow, or refer to","noun, verb","book collection, reading room",none
license,"A permit from an authority to own or use something, do a particular thing, or carry on a trade (especially in alcoholic drinks)","noun, verb","permit, certification","restriction, prohibition"
lie,Be in or assume a horizontal or resting position on a supporting surface,"verb, noun","recline, rest","stand, sit"
life,The existence of an individual human being or animal,"noun, verb","existence, being","death, nonexistence"
lift,Raise to a higher position or level,"verb, noun","raise, elevate","lower, drop"
light,The natural agent that stimulates sight and makes things visible,"noun, verb","brightness, luminosity","darkness, shadow"
lightly,"With little weight, force, intensity, etc.",adverb,"gently, softly","heavily, strongly"
like,Having the same characteristics or qualities as; similar to,"preposition, noun","enjoy, prefer","dislike, hate"
likely,Such as well might happen or be true; probable,"adjective, adverb","probable, possible","unlikely, improbable"
limit,A point or level beyond which something does not or may not extend or pass,"noun, verb","boundary, restriction","freedom, infinity"
limited,"Restricted in size, amount, or extent; few, small, or short","adjective, verb","restricted, finite","unlimited, infinite"
line,"A long, narrow mark or band","noun, verb","stripe, streak",none
link,"A relationship between two things or situations, especially where one thing affects the other","noun, verb","connection, tie","disconnect, break"
lip,Either of the two fleshy parts that form the upper and lower edges of the opening of the mouth,"noun, verb","mouth, edge",none
liquid,"A substance that flows freely but is of constant volume, having a consistency like that of water or oil","noun, adjective","fluid, aqueous","solid, gas"
list,"A number of connected items or names written or printed consecutively, typically one below the other","noun, verb","inventory, catalogue",none
listen,Give one's attention to a sound,"verb, noun","hear, attend","ignore, disregard"
literature,"Written works, especially those considered of superior or lasting artistic merit","noun, verb","writings, books",none
litre,"A metric unit of capacity, formerly defined as the volume of one kilogram of water under standard conditions, now equal to 1,000 cubic centimeters (approximately 1.75 pints)","noun, verb",none,none
little,"Small in size, amount, or degree","adjective, noun","small, tiny","large, big"
live,Remain alive,"verb, adjective","exist, survive","die, perish"
living,An income sufficient to live on or the means of earning it,"noun, adjective","livelihood, income","unemployment, none"
load,A heavy or bulky thing that is being carried or is about to be carried,"noun, verb","burden, cargo",none
loan,"A thing that is borrowed, especially a sum of money that is expected to be paid back with interest","noun, verb","credit, mortgage",none
local,Relating or restricted to a particular area or one's neighborhood,"adjective, noun","community, neighborhood","global, widespread"
locate,Discover the exact place or position of,"verb, noun","find, detect","lose, misplace"
location,A particular place or position,"noun, verb","place, position",none
lock,"A device for securing a door, gate, lid, or drawer in position when closed, typically operated by a key","noun, verb","fasten, secure","unlock, open"
log,A part of the trunk or a large branch of a tree that has fallen or been cut off,"noun, verb","timber, wood",none
logic,Reasoning conducted or assessed according to strict principles of validity,"noun, verb","reasoning, sense","irrationality, nonsense"
logical,Of or according to the rules of logic or formal argument,"adjective, noun","rational, coherent","illogical, irrational"
lonely,Sad because one has no friends or company,"adjective, noun","isolated, lonesome","sociable, outgoing"
long,Measuring a great distance from end to end,"adjective, verb","lengthy, extended","short, brief"
look,Direct one's gaze toward someone or something or in a specified direction,"verb, noun","gaze, glance","ignore, overlook"
loose,Not firmly or tightly fixed in place; detached or able to be detached,"adjective, noun","unstable, slack","tight, secure"
lord,"Someone or something having power, authority, or influence; a master or ruler","noun, verb","master, ruler","servant, follower"
lose,Be deprived of or cease to have or retain (something),"verb, noun","misplace, forfeit","find, win"
loss,The fact or process of losing something or someone,"noun, verb","defeat, failure","gain, success"
lost,Unable to find one's way; not knowing one's whereabouts,"adjective, verb","misplaced, missing","found, located"
lot,"A particular group, collection, or set of people or things","noun, adverb","many, bunch","few, little"
loud,Producing or capable of producing much noise,"adjective, noun","noisy, thunderous","quiet, soft"
loudly,In a way that produces much noise,adverb,"noisily, vocally","quietly, softly"
love,An intense feeling of deep affection,"noun, verb","affection, passion","hate, dislike"
lovely,Exquisitely beautiful,"adjective, noun","beautiful, charming","ugly, unattractive"
lover,A partner in a romantic or sexual relationship,"noun, verb","partner, sweetheart","enemy, foe"
low,Of less than average height from top to bottom or to the top from the ground,"adjective, noun","short, small","high, tall"
lower,Move (someone or something) in a downward direction,"verb, noun","reduce, diminish","raise, lift"
luck,Success or failure apparently brought by chance rather than through one's own actions,"noun, verb","fortune, chance","misfortune, bad luck"
lucky,"Having, bringing, or resulting from good luck","adjective, verb","fortunate, blessed","unlucky, unfortunate"
luggage,Suitcases or other bags in which to pack personal belongings for traveling,"noun, adjective","baggage, bags",none
lump,"A compact mass of a substance, especially one without a definite or regular shape","noun, verb","clump, chunk",none
lunch,"A meal eaten in the middle of the day, typically one that is lighter or less formal than an evening meal","noun, verb","midday meal, brunch","dinner, supper"
lung,"Each of the pair of organs situated within the ribcage, responsible for breathing","noun, verb","respiratory organ, pulmonary organ",none
machine,"An apparatus using or applying mechanical power and having several parts, each with a definite function and together performing a particular task","noun, verb","device, apparatus",none
machinery,Machines collectively,"noun, verb","equipment, tools",none
mad,Very angry,"adjective, noun","angry, furious","calm, composed"
magazine,"A periodical publication containing articles and illustrations, typically covering a particular subject or area of interest","noun, verb","periodical, journal",none
magic,The power of apparently influencing events by using mysterious or supernatural forces,"noun, adjective","sorcery, witchcraft","reality, rationality"
mail,Letters and packages conveyed by the postal system,"noun, verb","post, letters",none
main,Chief in size or importance,"adjective, noun","primary, chief","minor, secondary"
mainly,For the most part; chiefly,adverb,"chiefly, mostly","slightly, marginally"
maintain,Cause or enable (a condition or situation) to continue,"verb, noun","preserve, keep","neglect, abandon"
major,"Important, serious, or significant","adjective, noun","significant, important","minor, insignificant"
majority,The greater number,"noun, verb","greater part, most","minority, few"
make,Form (something) by putting parts together or combining substances; construct; create,"verb, noun","create, build","destroy, break"
male,Relating to men or boys,"adjective, noun","masculine, masculine gender","female, feminine"
mall,A large enclosed shopping area from which traffic is excluded,"noun, verb","shopping center, plaza",none
man,An adult human male,"noun, verb","gentleman, guy","woman, lady"
manage,"Be in charge of (a company, establishment, or undertaking); administer; run","verb, noun","administer, control","neglect, mismanage"
management,The process of dealing with or controlling things or people,"noun, verb","administration, supervision",mismanagement
manager,A person responsible for controlling or administering an organization or group of staff,"noun, verb","director, supervisor","employee, worker"
manner,A way in which a thing is done or happens,"noun, verb","style, approach",none
manufacture,Make (something) on a large scale using machinery,"verb, noun","produce, create","destroy, dismantle"
manufacturer,A person or company that makes goods for sale,"noun, verb","producer, maker","consumer, customer"
many,A large number of,"adjective, pronoun","numerous, multiple","few, little"
map,"A diagrammatic representation of an area of land or sea showing physical features, cities, roads, etc.","noun, verb","chart, plan",none
March,"The third month of the year, in the northern hemisphere usually considered the first month of spring","noun, proper noun",none,none
mark,Make a visible impression or stain on,"noun, verb","spot, sign",none
market,"A regular gathering of people for the purchase and sale of provisions, livestock, and other commodities","noun, verb","bazaar, marketplace",none
marketing,"The action or business of promoting and selling products or services, including market research and advertising","noun, verb","advertising, promotion",none
marriage,The legally or formally recognized union of two people as partners in a personal relationship,"noun, verb","union, wedding","divorce, separation"
married,Having a spouse,"adjective, verb","wedded, united","single, unmarried"
marry,Join in marriage,"verb, noun","wed, unite","divorce, separate"
mass,A large body of matter with no definite shape,"noun, verb","bulk, quantity",none
massive,Large and heavy or solid,"adjective, noun","huge, immense","tiny, small"
master,Having or showing very great skill or proficiency,"noun, verb","expert, adept","novice, apprentice"
match,A person or thing that is equal to another in quality or strength,"noun, verb","equal, peer","mismatch, opposition"
matching,"Corresponding in pattern, color, or design; complementary","adjective, verb","coordinating, complementary","clashing, contrasting"
mate,Each of a pair of birds or other animals that breed together,"noun, verb","partner, companion",none
material,The matter from which a thing is or can be made,"noun, adjective","fabric, substance","immaterial, non-material"
mathematics,"The abstract science of number, quantity, and space","noun, verb","maths, arithmetic",none
matter,The substance or substances of which any physical object consists or is composed,"noun, verb","substance, material",none
maximum,"As great, high, or intense as possible or permitted","noun, adjective","greatest, highest","minimum, least"
may,Expressing possibility,"verb, noun","might, could","must, will"
maybe,Perhaps; possibly,adverb,"perhaps, possibly","certainly, surely"
mayor,"The elected head of a city, town, or other municipality","noun, verb","city head, municipal head",none
me,Used by a speaker to refer to himself or herself as the object of a verb or preposition,pronoun,"myself, I",none
meal,"An occasion when food is eaten, or the food that is eaten on such an occasion","noun, verb","food, feast",none
mean,"Intend to convey, indicate, or refer to (a particular thing or notion); signify","verb, noun","signify, imply","misunderstand, confuse"
meaning,"What is meant by a word, text, concept, or action","noun, verb","definition, sense",meaninglessness
means,An action or system by which a result is achieved; a method,"noun, verb","method, way",none
meanwhile,In the intervening period of time,adverb,"at the same time, simultaneously",none
measure,"Ascertain the size, amount, or degree of (something) by using an instrument or device marked in standard units","verb, noun","gauge, quantify","estimate, guess"
measurement,The action of measuring something,"noun, verb","dimension, size",none
meat,The flesh of an animal (especially a mammal) as food,"noun, verb","flesh, protein","vegetable, plant-based"
mechanic,A person who repairs and maintains machinery,"noun, verb","repairman, technician",none
mechanical,Relating to or operated by machinery,"adjective, noun","automated, motorized","manual, human-powered"
media,"The main means of mass communication (broadcasting, publishing, and the internet) regarded collectively","noun, verb","press, news",none
medical,"Relating to the science of medicine, or to the treatment of illness and injuries","adjective, noun","clinical, therapeutic",none
medicine,"The science or practice of the diagnosis, treatment, and prevention of disease (in technical use often taken to exclude surgery)","noun, verb","drug, medication",none
medium,An agency or means of doing something,"noun, adjective","channel, means","extreme, maximum"
meet,Come into the presence or company of (someone) by chance or arrangement,"verb, noun","encounter, greet","avoid, ignore"
meeting,"An assembly of people for a particular purpose, especially for formal discussion","noun, verb","assembly, conference",none
melt,Make or become liquefied by heat,"verb, noun","dissolve, thaw","freeze, solidify"
member,An individual belonging to a group such as a society or team,"noun, verb","participant, associate",non-member
membership,The state of being a member of a particular group,"noun, verb","affiliation, association",none
memory,The faculty by which the mind stores and remembers information,"noun, verb","recollection, recall","forgetfulness, amnesia"
mental,Relating to the mind,"adjective, noun","psychological, intellectual","physical, bodily"
mention,Refer to something briefly and without going into detail,"verb, noun","refer, cite","ignore, overlook"
menu,A list of dishes available in a restaurant,"noun, verb","food list, bill of fare",none
mere,Used to emphasize how small or insignificant someone or something is,"adjective, noun","only, just","significant, substantial"
merely,Just; only,adverb,"only, just","significantly, greatly"
mess,A dirty or untidy state of things or of a place,"noun, verb","disorder, chaos","order, neatness"
message,"A verbal, written, or recorded communication sent to or left for a recipient who cannot be contacted directly","noun, verb","note, communication","silence, none"
metal,"A solid material that is typically hard, shiny, malleable, fusible, and ductile, with good electrical and thermal conductivity","noun, adjective","alloy, element",none
method,"A particular form of procedure for accomplishing or approaching something, especially a systematic or established one","noun, verb","procedure, technique","disorganization, mess"
meter,"The fundamental unit of length in the metric system, equal to 100 centimeters or approximately 39.37 inches","noun, verb","measure, gauge",none
mid-,Prefix meaning middle,prefix,"middle, central",none
middle,"The point or position at an equal distance from the sides, edges, or ends of something","noun, adjective","center, midpoint","edge, periphery"
midnight,Twelve o'clock at night,"noun, adjective","12 AM, middle of the night","noon, midday"
might,Past tense of may; used to express possibility or make a suggestion,"verb, noun","could, may",none
mild,"Not severe, serious, or harsh","adjective, noun","gentle, moderate","severe, intense"
mile,"A unit of linear measure equal to 1,760 yards (approximately 1.609 kilometers)","noun, verb",none,none
military,Relating to or characteristic of soldiers or armed forces,"adjective, noun","armed forces, army",civilian
milk,"An opaque white fluid rich in fat and protein, secreted by female mammals for the nourishment of their young","noun, verb","dairy, cream",none
milligram,A unit of mass equal to one thousandth of a gram,"noun, adjective",mg,none
millimetre,A unit of length equal to one thousandth of a meter,"noun, adjective",mm,none
million,"The number equivalent to the product of a thousand and a thousand; 1,000,000","noun, adjective",million,none
mind,"The element of a person that enables them to be aware of the world and their experiences, to think, and to feel; the faculty of consciousness and thought","noun, verb","intellect, brain","body, physicality"
mine,Belonging to or associated with the speaker,pronoun,"belonging to me, my","yours, theirs"
mineral,"A solid, naturally occurring inorganic substance","noun, adjective","ore, element",none
minimum,"The least or smallest amount or quantity possible, attainable, or required","noun, adjective","lowest, least","maximum, most"
minister,"A member of the clergy, especially in Protestant churches","noun, verb","clergyman, pastor",none
minor,"Lesser in importance, seriousness, or significance","adjective, noun","lesser, secondary","major, significant"
minute,A period of time equal to sixty seconds or a sixtieth of an hour,"noun, adjective","moment, instant","hour, day"
mirror,"A reflective surface, now typically of glass coated with a metal amalgam, that reflects a clear image","noun, verb","looking glass, reflector",none
miss,"Fail to hit, reach, or come into contact with (something aimed at)","verb, noun","fail, overlook","hit, catch"
missing,Not able to be found; absent,"adjective, noun","lost, unaccounted","present, found"
mission,"An important assignment carried out for political, religious, or commercial purposes, typically involving travel","noun, verb","task, assignment",none
mistake,An action or judgment that is misguided or wrong,"noun, verb","error, blunder","accuracy, correctness"
mix,Combine or put together to form one substance or mass,"verb, noun","blend, combine","separate, divide"
mixed,Consisting of different qualities or elements,"adjective, verb","varied, diverse","uniform, consistent"
mixture,A substance made by mixing other substances together,"noun, verb","compound, blend",none
mobile,Able to move or be moved freely or easily,"adjective, noun","portable, movable","fixed, immobile"
mobile phone,A portable telephone that uses wireless technology to send and receive phone signals,"noun, proper noun","cell phone, smartphone",none
model,"A three-dimensional representation of a person or thing or of a proposed structure, typically on a smaller scale than the original","noun, verb","replica, prototype","original, real"
modern,Relating to the present or recent times as opposed to the remote past,"adjective, noun","contemporary, current","ancient, old-fashioned"
mom,Mother,"noun, verb","mother, mama",none
moment,A very brief period of time,"noun, adverb","instant, second","eternity, forever"
Monday,The day of the week before Tuesday and following Sunday,"noun, proper noun",none,none
money,A current medium of exchange in the form of coins and banknotes; coins and banknotes collectively,"noun, verb","cash, currency",none
monitor,"An instrument or device used for observing, checking, or keeping a continuous record of a process or quantity","noun, verb","display, screen",none
month,Each of the twelve named periods into which a year is divided,"noun, verb","calendar month, lunar month",none
mood,A temporary state of mind or feeling,"noun, verb","temper, disposition","indifference, apathy"
moon,"The natural satellite of the earth, visible (chiefly at night) by reflected light from the sun","noun, verb","satellite, crescent",none
moral,Concerned with the principles of right and wrong behavior,"adjective, noun","ethical, virtuous","immoral, unethical"
more,A greater or additional amount or degree,"adjective, pronoun","additional, extra","less, fewer"
moreover,Besides; in addition to what has been said,adverb,"furthermore, besides","however, nevertheless"
morning,"The period of time between midnight and noon, especially from sunrise to noon","noun, adverb","dawn, forenoon","evening, night"
most,"Greatest in amount, quantity, or degree","adjective, noun","greatest, highest","least, fewest"
mostly,Mainly; for the most part,adverb,"mainly, chiefly","seldom, rarely"
mother,A woman in relation to her child or children,"noun, verb","mom, mama","father, dad"
motion,The action or process of moving or being moved,"noun, verb","movement, mobility","stillness, immobility"
motor,"A machine, especially one powered by electricity or internal combustion, that supplies motive power for a vehicle or for another device with moving parts","noun, verb","engine, generator",none
mount,"Climb up (stairs, a hill, or other rising surface)","verb, noun","ascend, climb","descend, dismount"
mountain,A large natural elevation of the earth's surface rising abruptly from the surrounding level; a large steep hill,"noun, verb","peak, summit","valley, plain"
mouse,"A small rodent that typically has a pointed snout, relatively large ears and eyes, and a long tail","noun, verb","rodent, mouse",none
mouth,"The opening and cavity in the lower part of the human face, surrounded by the lips, through which food is taken in and vocal sounds are emitted","noun, verb","oral cavity, opening",none
move,Go in a specified direction or manner; change position,"verb, noun","shift, relocate","stay, remain"
movement,An act of changing physical location or position or of having this changed,"noun, verb","motion, action","stillness, inactivity"
movie,A story or event recorded by a camera as a set of moving images and shown in a theater or on television; a motion picture,"noun, verb","film, cinema",none
Mrs,A title used before the surname or full name of a married woman,"noun, proper noun",none,none
Ms,A title used before the surname or full name of any woman regardless of her marital status,"noun, proper noun",none,none
much,A large amount,"adjective, noun","many, numerous","little, few"
mud,"Soft, sticky matter resulting from the mixing of earth and water","noun, verb","sludge, mire",dryness
multiply,Obtain from (a number) another that contains the first number a specified number of times,"verb, noun","increase, proliferate","decrease, divide"
mum,Mother,"noun, verb","mom, mama",none
murder,The unlawful premeditated killing of one human being by another,"noun, verb","homicide, assassination","birth, creation"
muscle,"A band or bundle of fibrous tissue in a human or animal body that has the ability to contract, producing movement in or maintaining the position of parts of the body","noun, verb","sinew, brawn",weakness
museum,"A building in which objects of historical, scientific, artistic, or cultural interest are stored and exhibited","noun, verb","gallery, exhibit",none
music,"Vocal or instrumental sounds (or both) combined in such a way as to produce beauty of form, harmony, and expression of emotion","noun, verb","melody, harmony","noise, cacophony"
musical,Relating to music; having the qualities of music,"adjective, noun","melodic, harmonious",non-musical
musician,"A person who plays a musical instrument, especially as a profession, or is musically talented","noun, verb","performer, artist",non-musician
must,Be obliged to; should (expressing necessity),"verb, noun","have to, need to",none
my,Belonging to or associated with the speaker,"pronoun, adjective",mine,your
myself,Used by a speaker to refer to himself or herself as the object of a verb or preposition,pronoun,me,yourself
mysterious,"Difficult or impossible to understand, explain, or identify","adjective, noun","enigmatic, puzzling","clear, obvious"
mystery,Something that is difficult or impossible to understand or explain,"noun, verb","puzzle, enigma","explanation, solution"
nail,"A small metal spike with a broadened flat head, driven into wood to join things together or to serve as a hook","noun, verb","spike, pin",screw
naked,Without clothes,"adjective, verb","bare, unclothed","clothed, dressed"
name,"A word or set of words by which a person or thing is known, addressed, or referred to","noun, verb","designation, title",none
narrow,Of small width in relation to length,"adjective, verb","tight, limited","wide, broad"
nation,"A large body of people united by common descent, history, culture, or language, inhabiting a particular state or territory","noun, adjective","country, state",none
national,Relating to or characteristic of a nation; common to a whole nation,"adjective, noun","domestic, federal","international, global"
natural,Existing in or derived from nature; not made or caused by humankind,"adjective, noun","organic, pure","artificial, man-made"
naturally,In a natural manner; by nature,adverb,"normally, usually",unnaturally
nature,"The phenomena of the physical world collectively, including plants, animals, the landscape, and other features and products of the earth, as opposed to humans or human creations","noun, verb","environment, wilderness","urban, city"
navy,The branch of a nation's armed services that conducts military operations at sea,"noun, adjective","fleet, armada",none
near,At or to a short distance away; close to,"adverb, adjective","close, adjacent","far, distant"
nearby,Not far away; close by,"adjective, adverb","close by, near","far away, distant"
nearly,Very close to; almost,adverb,"almost, virtually","completely, entirely"
neat,"Arranged in an orderly, tidy way","adjective, verb","tidy, orderly","messy, untidy"
neatly,In a neat way,adverb,"tidily, cleanly",messily
necessary,"Required to be done, achieved, or present; needed; essential","adjective, noun","essential, required","unnecessary, optional"
neck,The part of a person's or animal's body connecting the head to the rest of the body,"noun, verb","cervix, nape",none
need,Require (something) because it is essential or very important,"verb, noun","require, want",none
needle,"A very fine, slender piece of metal with a point at one end and a hole (or eye) for thread at the other, used in sewing","noun, verb","pin, sharp",none
negative,Consisting in or characterized by the absence rather than the presence of distinguishing features,"adjective, noun","pessimistic, adverse","positive, favorable"
negotiate,Obtain or bring about by discussion,"verb, noun","discuss, bargain","ignore, avoid"
neighbor,A person living near or next door to the speaker or person referred to,"noun, verb","adjacent, nearby",stranger
neither,Not the one nor the other of two people or things; not either,"conjunction, adverb",none,both
nerve,"A whitish fiber or bundle of fibers in the body that transmits impulses of sensation to the brain or spinal cord, and impulses from these to the muscles and organs","noun, verb","fiber, neuron",none
nervous,Easily agitated or alarmed,"adjective, noun","anxious, uneasy","calm, confident"
nervously,In an anxious or apprehensive manner,adverb,"anxiously, apprehensively","calmly, confidently"
nest,A structure or place made or chosen by a bird for laying eggs and sheltering its young,"noun, verb","burrow, den",none
net,"A piece of open-meshed material made of twine, cord, or something similar, used typically for catching fish or other animals","noun, verb","mesh, lattice",solid
network,A group or system of interconnected people or things,"noun, verb","system, web",none
never,At no time in the past or future; not ever,adverb,"not ever, at no time","always, forever"
new,"Not existing before; made, introduced, or discovered recently or now for the first time","adjective, noun","recent, fresh","old, ancient"
newly,Very recently,adverb,"recently, freshly","formerly, previously"
news,"Newly received or noteworthy information, especially about recent events","noun, verb","information, report",none
newspaper,"A printed publication (usually issued daily or weekly) consisting of folded unstapled sheets and containing news, articles, advertisements, and correspondence","noun, verb","daily, periodical",none
next,"Coming immediately after the present one in order, rank, or space","adjective, noun","following, subsequent","previous, former"
nice,Pleasant; agreeable; satisfactory,"adjective, noun","pleasant, kind","mean, unpleasant"
nicely,In a pleasant manner,adverb,"pleasantly, kindly","rudely, poorly"
night,The period of darkness in each twenty-four hours; the time from sunset to sunrise,"noun, adjective","darkness, evening","day, daylight"
nine,"Equivalent to the product of three and three; one more than eight, or one less than ten; 9","noun, adjective",none,none
nineteen,"Equivalent to the product of nine and ten; one more than eighteen, or one less than twenty; 19","noun, adjective",none,none
ninety,"The number equivalent to the product of nine and ten; one more than eighty-nine, or ten less than one hundred; 90","noun, adjective",none,none
ninth,Constituting number nine in a sequence; 9th,"adjective, noun",9th,none
no,Not any,"adverb, noun",not,yes
nobody,No person; no one,pronoun,"no one, none","someone, everybody"
noise,"A sound, especially one that is loud or unpleasant or that causes disturbance","noun, verb","sound, din","silence, quiet"
noisy,Making or given to making a lot of noise,"adjective, noun","loud, boisterous","quiet, silent"
none,Not any,pronoun,"nothing, zero","some, any"
nonsense,Spoken or written words that have no meaning or make no sense,"noun, verb","rubbish, baloney","sense, logic"
nor,Used to introduce a further negative statement,conjunction,neither,and
normal,"Conforming to a standard; usual, typical, or expected","adjective, noun","usual, typical","abnormal, unusual"
normally,Under normal or usual conditions,adverb,"usually, generally","abnormally, rarely"
north,"The direction in which a compass needle normally points, toward the horizon on the left-hand side of a person facing the rising sun","noun, adjective",none,south
northern,"Situated in the north, or directed toward or facing the north","adjective, noun","northerly, polar",southern
nose,"The part projecting above the mouth on the face of a person or animal, containing the nostrils and used for breathing and smelling","noun, verb","snout, nostrils",none
not,Used with an auxiliary verb or “be” to form the negative,"adverb, conjunction",no,yes
note,"A brief record of facts, topics, or thoughts, written down as an aid to memory","noun, verb","memo, reminder",none
nothing,Not anything; no single thing,pronoun,none,"everything, anything"
notice,The fact of observing or paying attention to something,"verb, noun","observe, perceive","ignore, overlook"
noticeable,Easily seen or noticed; clear or apparent,"adjective, noun","visible, evident","invisible, unnoticed"
novel,"A fictitious prose narrative of book length, typically representing character and action with some degree of realism","noun, verb","book, story","nonfiction, reality"
November,"The eleventh month of the year, in the northern hemisphere usually considered the last month of autumn","noun, proper noun",none,none
now,At the present moment,"adverb, conjunction","currently, presently",then
nowhere,Not in or to any place; not anywhere,"adverb, noun",not anywhere,everywhere
nuclear,Relating to the nucleus of an atom,"adjective, noun","atomic, atomic-powered",non-nuclear
number,"An arithmetical value, expressed by a word, symbol, or figure, representing a particular quantity and used in counting and making calculations","noun, verb","digit, figure",none
numerous,Great in number; many,adjective,"many, several","few, limited"
nurse,"A person trained to care for the sick or infirm, especially in a hospital","noun, verb","caregiver, attendant",patient
nut,A hard-shelled fruit of some plants,"noun, verb","kernel, seed",none
obey,"Comply with the command, direction, or request of (a person or a law); submit to the authority of","verb, noun","follow, comply","disobey, defy"
object,A material thing that can be seen and touched,"noun, verb","thing, item",none
objective,A thing aimed at or sought; a goal,"noun, adjective","goal, target",none
observation,The action or process of observing something or someone carefully or in order to gain information,"noun, verb","monitoring, scrutiny","ignorance, neglect"
observe,Notice or perceive (something) and register it as being significant,"verb, noun","watch, monitor","overlook, ignore"
obtain,"Get, acquire, or secure (something)","verb, adjective","acquire, secure","lose, relinquish"
obvious,"Easily perceived or understood; clear, self-evident, or apparent","adjective, noun","clear, evident","unclear, ambiguous"
obviously,In a way that is easily perceived or understood; clearly,adverb,"clearly, evidently",unclearly
occasion,A particular time or instance of an event,"noun, verb","event, instance",none
occasional,"Occurring, appearing, or done infrequently and irregularly","adjective, noun","infrequent, sporadic","frequent, regular"
occasionally,At infrequent or irregular intervals; now and then,adverb,"sometimes, intermittently","frequently, regularly"
occupation,A job or profession,"noun, verb","job, profession","unemployment, idleness"
occupy,Reside or have one's place of business in (a building),"verb, noun","inhabit, reside","vacate, leave"
occur,Happen; take place,"verb, noun","happen, take place","cease, stop"
ocean,"A very large expanse of sea, in particular each of the main areas into which the sea is divided geographically","noun, verb","sea, water",land
o'clock,Used to specify the hour in telling time,noun,none,none
October,"The tenth month of the year, in the northern hemisphere usually considered the second month of autumn","noun, proper noun",none,none
odd,Different from what is usual or expected; strange,"adjective, noun","strange, peculiar","normal, usual"
oddly,In a way that is different from what is usual or expected; strangely,adverb,"strangely, peculiarly",normally
of,Expressing the relationship between a part and a whole,preposition,belonging to,none
off,Away from the place in question; to or at a distance,"adverb, preposition","away, down","on, toward"
offence,A breach of a law or rule; an illegal act,"noun, verb","crime, wrongdoing",none
offend,"Cause to feel upset, annoyed, or resentful","verb, noun","insult, upset","please, delight"
offense,A breach of a law or rule; an illegal act,"noun, verb","crime, breach",none
offensive,"Causing someone to feel deeply hurt, upset, or angry","adjective, noun","insulting, rude","polite, pleasing"
offer,Present or proffer (something) for (someone) to accept or reject as so desired,"verb, noun","propose, present","refuse, reject"
office,"A room, set of rooms, or building used as a place for commercial, professional, or bureaucratic work","noun, verb","workplace, bureau",none
officer,"A person holding a position of command or authority in the armed services, in the police, or in a public office","noun, verb","commander, chief","subordinate, private"
official,"Relating to an authority or public body and its duties, actions, and responsibilities","adjective, noun","authorized, formal","unofficial, informal"
officially,In a formal and public way,adverb,"formally, publicly",unofficially
often,Frequently; many times,adverb,"frequently, regularly","rarely, seldom"
oh,"Used to express a range of emotions including surprise, excitement, and sadness",interjection,"ah, wow",none
oil,"A viscous liquid derived from petroleum, especially for use as a fuel or lubricant","noun, verb","petroleum, lubricant",water
old,Having lived for a long time; no longer young,"adjective, noun","aged, elderly","young, new"
on,Physically in contact with and supported by (a surface),"preposition, adverb","upon, over",off
once,On one occasion or for one time only,"adverb, noun","one time, single time",multiple times
one,The lowest cardinal number; half of two; 1,"noun, adjective","single, lone",none
onion,"A swollen edible bulb used as a vegetable, having a pungent taste and smell and composed of several concentric layers","noun, verb","vegetable, bulb",none
online,Controlled by or connected to a computer,"adjective, adverb","connected, wired","offline, disconnected"
only,And no one or nothing more besides; solely,"adverb, adjective","solely, exclusively",more
onto,To a position on the surface of,preposition,"upon, over",off
open,"Allowing access, passage, or a view through an empty space; not closed or blocked","adjective, verb","unblocked, unlocked","closed, shut"
operate,"(of a machine, process, or system) function in a specified manner","verb, noun","function, work","stop, halt"
operation,The fact or condition of functioning or being active,"noun, verb","procedure, action","inactivity, idleness"
opinion,"A view or judgment formed about something, not necessarily based on fact or knowledge","noun, verb","view, belief","fact, certainty"
opportunity,A set of circumstances that makes it possible to do something,"noun, verb","chance, possibility","miss, loss"
oppose,"Disagree with and attempt to prevent, especially by argument","verb, noun","resist, defy","support, accept"
